index,words,jyutping,meanings,note,category_1,category_2,category_3
1,*哋1,dei6,詞尾，表示人稱的複數。,[普通話的“們”除用於人稱“我們、你們”等之外，也可用於其他一些名詞，如“同學們、工人們”，廣州話的“哋”衹能用於人稱代詞“我哋、你哋”等],一、人物,一A泛稱,一A1人稱、指代
2,我哋,ngo5 dei6,我們；咱們。你哋去，～唔去。（你們去，我們不去。）│你係廣州人，我又係廣州人，～都係廣州人。（你是廣州人，我也是廣州人。咱們都是廣州人。）,[普通話的“我們”不包括聽話的人，“咱們”包括在內，廣州話沒有這樣的區別]。,一、人物,一A泛稱,一A1人稱、指代
3,你哋,nei5 dei6,你們。,,一、人物,一A泛稱,一A1人稱、指代
4,佢,keoi5,。他；她。～係我嘅朋友。（他是我的朋友。）│我中意～。（我喜歡她。）,,一、人物,一A泛稱,一A1人稱、指代
5,佢哋,keoi5 dei6,他們；她們。,,一、人物,一A泛稱,一A1人稱、指代
6,邊個,bin1 go3,誰。佢係～？（他是誰？）│你中意叫～嚟都得。（你喜歡叫誰來都行。）,,一、人物,一A泛稱,一A1人稱、指代
7,乜人,mat1 jan4,誰。～將呢個桶躉響度？（誰把這個桶放在這兒？）,,一、人物,一A泛稱,一A1人稱、指代
8,阿（亞）誰,aa3 seoi4-2,【謔】誰。人哋邊識得你係～！（人家哪知道你是誰！）,,一、人物,一A泛稱,一A1人稱、指代
9,人哋,jan4 dei6,人家；別人（有時泛指別的人，有時指特定的某個人，有時指說話者自己）。～都唔驚，你驚乜嘢噃！（別人都不怕，你怕甚麼呀？）│快啲送翻去畀～啦！（快點送回去給人家吧！）│唔好啦，～而家冇心機。（別這樣吧，人家現在沒心思。）,,一、人物,一A泛稱,一A1人稱、指代
10,人,jan4,同“人哋”，但一般不出現於句子開頭。咪淨識得話～！（不要衹會說別人！）,[其他許多用法同於普通話],一、人物,一A泛稱,一A1人稱、指代
11,*第二個,dai6 ji6 go3,別人；另外的人。呢件事唔好畀～知到。（這件事不要讓別人知道。）,[重見八A8],一、人物,一A泛稱,一A1人稱、指代
12,*第個,dai6 go3,同“第二個”。除咗佢，～都唔得。（除了他，別人都不行。）,[重見八A8],一、人物,一A泛稱,一A1人稱、指代
13,阿（亞）,aa3,詞頭，用於對人的稱呼，一般是比較親切或隨便稱呼。～伯（大伯）│～廣（對某個以“廣”為名字的人的稱呼）│～徐（對某個姓徐的人的稱呼）│～駝（駝子）,,一、人物,一A泛稱,一A2一般指稱、尊稱
