RecordType,DialectTag,号,部,画,繁,简,GPS,Jyutping,汉拼,英译与词句,gps#,Nos.
HEAD,,30,口,8,咑,,ā,aa2,dā,(brief utterance to urge draft animals on) giddyap.⁶,a1,1
HEAD,,30,口,11,啞,哑,ā,aa2,yǎ,"mute, dumb; speechless, silent; (of a bomb) unexploded, dud; hoarse, husky.⁶ (comp. t : ⿰口亞; U+555E). (comp. s : ⿰口亚; U+54D1). (See 啞 [ā, yā ].)",a1,2
PHRASE,,,,,啞巴,哑巴,ā-bä,aa2 baa1,yǎba,"a dumb person, mute.⁵",a1,2
PHRASE,,,,,啞口無言,哑口无言,ā-hēo-mũ-ngũn,aa2 hieu2 mu4 ngun4,yǎkǒuwúyán,to be rendered speechless; to be dumbfounded.³⁹,a1,2
PHRASE,,,,,啞吒嘈雜,哑咤嘈杂,ā-jä-tão-dàp,aa2 zaa1 taau4 daap6,yǎzhàcáozá,the noisy sound of a crowd.³⁹,a1,2
PHRASE,,,,,啞劇,哑剧,ā-kēk,aa2 kiek2,yǎjù,pantomime.¹¹,a1,2
PHRASE,,,,,啞鈴,哑铃,ā-lẽin or ā-lêng,aa2 len4 or aa2 lieng5,yǎlíng,(gymnastics) dumbbell.⁵,a1,2
PHRASE,,,,,啞謎,哑谜,ā-mãi,aa2 maai4,yǎmí,puzzling remark; enigma.⁶,a1,2
PHRASE,,,,,啞然,哑然,ā-ngẽin,aa2 ngen4,yǎrán,"soundless, silent; sound of laughing.⁶",a1,2
PHRASE,,,,,啞語,哑语,ā-nguî,aa2 ngui5,yāyǔ,dactylology; sign/finger language.⁶,a1,2
PHRASE,,,,,啞炮,哑炮,ā-päo,aa2 paau1,yǎpào,dud.⁶,a1,2
PHRASE,,,,,聾啞,聋哑,lũng-ā,leang4 aa2,lóngyǎ,deaf-mute; deaf and dumb.⁹,a1,2
PHRASE,,,,,嘶啞,嘶哑,xü-ā,slu1 aa2,sīyǎ,hoarse; croaking; rusty.⁶,a1,2
PHRASE,,,,,喑啞,喑哑,yïm-ā,jim1 aa2,yīnyǎ,"mute; dumb.⁵ mute and dumb; (of voice) hoarse, husky.⁶ dumb.¹⁴",a1,2
HEAD,,30,口,11,啞,唖,ā,aa2,yǎ,"mute, dumb; speechless, silent; (of a bomb) unexploded, dud; hoarse, husky.⁶ (Note: 唖 was the former simplified form of 啞. It has been replaced by 哑. Japanese still use 唖). (comp. t : ⿰口亞; U+555E). (comp. s : ⿰口亜; U+5516).",a1,3
HEAD,,30,口,11,啞,哑,ā,aa2,yā,"(=呀 [à, yā ]) expressing surprise. (See 啞 [ā, yǎ ].)",a1,4
PHRASE,,,,,啞啞,哑哑,ā-ā,aa2 aa2,yāyā,"(of a baby) to babble; (of a crow) to caw.⁶ descriptive of bird cry, creaking or crackling sound; <wr.> a chuckling sound.¹¹",a1,4
PHRASE,,,,,啞啞學語,哑哑学语,ā-ā-hòk-nguî,aa2 aa2 hok6 ngui5,yāyāxuéyǔ,(of a baby) to babble out his first speech sounds; to learn to speak.⁶,a1,4
HEAD,,30,口,12,喔,,ā,aa2,ō,an exclamation.⁷,a1,5
PHRASE,,,,,"喔, 原來是(係)你",原来是(系)你,ngũn-lõi-sì(hài)-nî,ngun4 luoi4 si6(haai6) ni5,"ō, yuánláishìnǐ.","Oh, so it's you! (Note: Use 是 when you are reading. Use 系 when you are speaking.)",a1,5
HEAD,,64,手,5,打,,ā,aa2,dǎ,"to strike, to whip, to hit, to do, to play, to beat, to fight.",a1,6
PHRASE,,,,,打倒,,ā-āo,aa2 aau2,dǎdǎo,to overthrow; to knock down.,a1,6
PHRASE,,,,,打扮,,ā-bàn,aa2 baan6,dǎban,to make up; to dress up.,a1,6
PHRASE,,,,,打喳喳,,ā-chä-chä,aa2 caa1 caa1,dǎchācha,to talk in a whisper.¹¹,a1,6
PHRASE,,,,,打槳,打桨,ā-dēng,aa2 dieng2,dǎjiǎng,pull an oar.¹ to row a boat.¹⁴,a1,6
PHRASE,,,,,打電話,打电话,ā-èin-và,aa2 en6 vaa6,dǎdiànhuà,make a telephone call.,a1,6
PHRASE,,,,,打呼嚕,打呼噜,ā-fü-lû,aa2 fu1 lu5,dǎhūlu,to snore.⁹,a1,6
PHRASE,,,,,打嗝,,ā-gäk,aa2 gaak1,dǎgé,to hiccup; to belch.²²,a1,6
PHRASE,,,,,打擊,打击,ā-gēik,aa2 gek2,dǎjī,"strike, attack.",a1,6
PHRASE,,,,,打聽,打听,ā-hëng,aa2 hieng1,dǎting,to inquire/ask about.,a1,6
PHRASE,,,,,打仗,,ā-jëng,aa2 zieng1,dǎzhàng,to wage war; to fight a battle.,a1,6
